"","OBJECTID","PA_area"
"644",1265,125457933.554825
"645",1266,178929463.804317
"646",1267,406970485.030326
"647",1268,609553731.692786
"648",1269,199428629.423683
"649",1270,286524385.284945
"650",1271,3230163.70820604
"651",1273,14723120.2047323
"652",1274,240110674.616025
"653",1275,610749537.321343
"654",1276,613576126.969369
"655",1277,327261977.874053
"656",1278,4259962.38700563
"657",1279,146023846.222287
"658",1280,251236847.457488
"659",1281,98520286.0720749
"660",1284,455405859.397971
"661",1285,615237180.884068
"662",1286,16920102.4142596
"663",1287,33797662.1739008
"664",1288,114530950.356941
"665",1289,4468.95858684927
"666",1290,22718597.7602838
"667",1291,924077.627915494
"668",1294,166398950.082813
"669",1295,84965699.5914983
"670",1296,206806731.67394
"671",1297,475703039.803518
"672",1298,553153011.781946
"673",1299,53167499.7861283
"674",1303,24038578.8550694
"675",1304,117576980.822243
"676",1305,187907391.698145
"677",1306,320745133.270377
"678",1307,214396678.932004
"679",1308,113682721.846726
"680",1309,169659961.74476
"681",1310,300531290.109095
"682",1311,119729925.29388
"683",1312,2390317.52579039
"684",1320,6005634.44708381
"685",1321,546934792.537656
"686",1322,458408804.019557
"687",1323,614989332.054012
"688",1324,615257579.624172
"689",1325,615216998.892875
"690",1326,615237180.884228
"691",1327,615237180.884068
"692",1328,615237180.883923
"693",1329,615237180.883923
"694",1330,615237180.884068
"695",1331,615237180.884068
"696",1332,615237180.883923
"697",1333,456180267.537582
"698",1334,45326823.6774471
"699",1344,416198709.829994
"700",1345,595243660.071178
"701",1346,617243327.252578
"702",1347,615878472.989978
"703",1348,286259986.321284
"704",1349,8722824.26338634
"705",1350,264985742.707512
"706",1353,78728331.1563324
"707",1354,14828784.2990068
"708",1356,5207827.79555013
"709",1357,6934995.06374371
"710",1359,12295249.0597057
"711",1360,161930322.041544
"712",1361,37910471.5657071
"713",1363,51837801.7064823
"714",1364,384707047.553168
"715",1365,494639706.609014
"716",1366,378078623.080843
"717",1367,18143146.4025574
"718",1368,70883339.8872057
"719",1369,87602487.685298
"720",1370,358426012.798861
"721",1371,426072943.295554
"722",1372,540448668.422164
"723",1373,158267385.030344
"724",1374,11177.9388291538
"725",1375,323127721.709378
"726",1376,557631812.787853
"727",1377,527935558.790583
"728",1378,615613774.34539
"729",1379,618431578.01122
"730",1380,764970250.308448
"731",1381,76562144.9752627
"732",1382,23497637.8538087
"733",1386,175653414.726678
"734",1387,615108290.051857
"735",1388,378160671.521795
"736",1389,6774613.2965621
"737",1390,219595313.628835
"738",1391,372731286.209012
"739",1392,202518788.603735
"740",1393,404436059.92283
"741",1394,97552319.5319533
"742",1395,255623289.472623
"743",1396,402165198.091639
"744",1397,558720840.702786
"745",1398,69981044.9832075
"746",1399,398160920.370411
"747",1400,615613774.34539
"748",1401,615613774.345551
"749",1402,567900507.80663
"750",1403,316900024.385676
"751",1404,366992169.94244
"752",1405,464537048.064614
"753",1406,795967161.653955
"754",1407,836426679.062727
"755",1408,1034089868.23398
"756",1409,1231227548.69078
"757",1410,1221426015.69227
"758",1411,727456729.758237
"759",1412,615613774.345551
