"","OBJECTID","PA_area","dist_rod","dist_hid","dist_hidro_rod"
"1420",2289,618292726.873699,28722.2339457216,5474.34740090381,5474.34740091082
"1421",2290,608318705.775947,9820.52166084395,5111.78488003418,5111.78488003418
"1422",2291,538240088.818682,9479.99197454259,2853.17329878152,2853.17329877164
"1423",2292,618292726.873699,30950.4963479235,490.715417511232,490.715417510085
"1424",2293,618292726.873859,52516.9186125316,8450.53713721718,8450.53713721612
"1425",2294,618292726.873859,74141.9885516823,18214.86862332,18214.8686233159
"1426",2295,619977706.761919,95768.8386299991,3499.7376286681,3499.7376286666
"1427",2296,617956064.675824,117217.356169122,15696.7502771646,15696.75027716
"1428",2297,618276460.70752,138767.674731595,23585.6182640162,23585.6182640216
"1429",2298,618292726.873859,160349.505134342,10860.8437416565,10860.8437416518
"1430",2299,618293177.372228,181932.225098455,4859.06471169507,4859.06471169146
"1431",2300,618292551.499521,203515.366215109,20829.8163100841,20829.816310082
"1432",2301,602132885.019821,225100.214326628,32326.1451479718,32326.1451479798
"1433",2302,433284111.800596,246724.591853332,28028.0141797416,28028.0141797416
"1434",2305,338477076.796029,311676.965129803,26220.8217887911,26220.8217887908
"1435",2306,618292726.873699,333229.519411743,13856.1472062883,13856.1472062946
"1436",2307,618292726.873859,354785.857019358,4596.56434579932,4596.56434579363
"1437",2308,618292726.873699,363983.312252029,199.654341232544,199.654341238808
"1438",2309,619830185.39554,369233.47060012,17825.8941826979,17825.894182701
"1439",2310,620386523.150491,374519.827697719,39852.251282126,39852.2512821222
"1440",2311,618109848.879699,361609.751811794,58473.3719876363,58473.3719876314
"1441",2312,615339189.034127,345298.330942403,76260.2190827414,76260.2190827405
"1442",2313,611104731.356199,330063.229502524,93013.8876114781,93013.8876114858
"1443",2314,612258809.573395,315648.572081302,102480.021277288,102480.021277283
"1444",2315,618463218.767609,297410.683467142,106916.192389057,106916.192389057
"1445",2316,488071233.121114,278670.382479179,112915.840191637,112915.840191631
"1446",2317,496334414.203844,260755.167342974,108807.374591765,108807.374591765
"1447",2318,611989424.374134,243433.787256495,102476.600685236,102476.600685237
"1448",2319,618292726.874004,226545.262283339,92836.1703635398,92836.1703635465
"1449",2320,618292726.873859,207482.915061514,68418.2992269817,68418.2992269881
"1450",2321,618292726.873699,189797.693789452,44661.9694229015,44661.9694229087
"1451",2322,618292726.873859,173910.322118326,23652.4453438359,23652.4453438443
"1452",2323,559031900.998908,159012.009551544,16516.6862144189,16516.6862144128
"1453",2331,33240858.5228103,28636.3001799833,14408.3330983682,14408.333098369
"1454",2335,248825333.940062,122495.589704083,42435.4954535565,42435.4954535552
"1455",2336,296548715.555723,146798.691522446,27835.8097649935,27835.8097649898
"1456",2337,321126768.110276,171305.276912437,22621.3511139967,22621.351113999
"1457",2338,438139156.249165,195834.266176268,687.030703678867,687.030703679573
"1458",2339,461333737.562876,195563.601040158,12558.5780860571,12558.5780860628
"1459",2340,618585812.513634,181707.538165983,11654.0868889157,11654.0868889185
"1460",2341,618585812.51379,170219.5944069,7129.58831797826,7129.58831798007
"1461",2342,618585812.513634,161119.580961301,12759.4416258516,12759.4416258575
"1462",2343,456406363.174267,155553.556843298,14478.4167211379,14478.4167211323
"1463",2344,232229097.452068,153905.423533558,16135.3682884367,16135.3682884385
"1464",2345,12803151.3130525,155793.136777686,26687.8810673961,26687.8810673962
"1465",2346,222456000.301463,152281.850329856,47371.5482842503,47371.5482842453
"1466",2347,574292951.795191,130258.160844778,64101.7084862191,64101.7084862237
"1467",2348,555032151.52587,105287.44427631,78259.3233012253,78259.3233012316
"1468",2349,501338290.349262,80342.3892354399,53377.9804397935,53377.9804397998
"1469",2350,439052364.631739,55456.9628033351,28670.5006641787,28670.5006641844
"1470",2351,38418993.6684256,30769.6096662285,4106.21302846116,4106.21302846646
"1471",2352,6235731.83657514,6040.04424936551,19807.169566681,6040.04424936374
"1472",2353,607858141.489963,16827.175458605,42839.1336399193,16827.1754586041
"1473",2354,588682922.172341,38383.19637608,49520.4529548758,38383.1963760811
"1474",2355,521830504.199274,56740.3479868477,53771.7351526135,53771.7351526172
"1475",2356,602564442.407575,78463.395949981,58092.1856723508,58092.1856723567
"1476",2357,618574265.444622,90478.182247498,68558.0970821877,68558.0970821898
"1477",2358,618457769.643912,83422.6642328069,82999.7161937731,82999.7161937779
"1478",2359,618585812.51379,73347.1872501967,100941.23213681,73347.1872501967
"1479",2360,592536252.562835,66052.0201327159,109181.810759733,66052.020132716
"1480",2361,618585812.51379,59499.3025217906,89759.4025725532,59499.3025217906
